date_mutation,valeur_fonciere,code_postal,nom_commune,id_parcelle,type_local,surface_reelle_bati,surface_terrain,nombre_pieces_principales,agent,prixcible,prixvente_initial,evaluation_agent
2017-10-25,172000.0,31300,Toulouse,31555844AD0026,Appartement,59.0,59.0,3.0,1,176000,185000,Renove
2017-11-20,214000.0,31200,Toulouse,31555803AE0386,Appartement,90.0,90.0,4.0,1,212000,223000,Ancien
2017-11-21,85000.0,31400,Toulouse,31555811AH0162,Appartement,19.0,19.0,1.0,1,81000,85000,Renove
2017-12-01,116891.0,31400,Toulouse,31555813AD0176,Appartement,44.0,44.0,2.0,1,119000,125000,Ancien
2017-12-06,151300.0,31200,Toulouse,31555802AB0191,Appartement,48.0,48.0,2.0,1,161000,169000,Renove
2017-12-08,75000.0,31000,Toulouse,31555822AB0325,Appartement,24.0,24.0,2.0,1,75000,79000,Renove
2017-12-12,125544.0,31300,Toulouse,31555844AD0242,Appartement,70.0,70.0,3.0,1,120000,126000,Ancien
2017-12-12,180000.0,31400,Toulouse,31555836AK0060,Appartement,54.0,54.0,3.0,1,175000,184000,Renove
2017-12-15,128575.0,31300,Toulouse,31555828AC0722,Appartement,38.0,38.0,2.0,1,144000,151000,Renove
2017-12-27,135000.0,31000,Toulouse,31555823AC0222,Appartement,42.0,42.0,2.0,1,132000,139000,Renove
2018-01-05,141000.0,31100,Toulouse,31555842AK0187,Appartement,71.0,207.0,2.0,1,139000,146000,Renove
2018-01-18,270000.0,31000,Toulouse,31555822AB0481,Appartement,73.0,73.0,3.0,1,280000,294000,Renove
2018-02-09,138000.0,31300,Toulouse,31555844AN0082,Appartement,48.0,48.0,2.0,1,136000,143000,Ancien
2018-02-26,115000.0,31200,Toulouse,31555802AC0278,Appartement,41.0,41.0,2.0,1,123000,129000,Ancien
2018-02-28,102600.0,31200,Toulouse,31555829AN0367,Appartement,31.0,31.0,2.0,1,100000,105000,Renove
2018-03-01,63000.0,31200,Toulouse,31555803AE0559,Appartement,22.0,22.0,1.0,1,62000,65000,Ancien
2018-03-14,173000.0,31200,Toulouse,31555831AS0761,Appartement,73.0,73.0,3.0,1,187000,196000,Ancien
2018-03-21,80000.0,31200,Toulouse,31555830AK0030,Appartement,44.0,44.0,2.0,1,77000,81000,Renove
2018-03-23,85000.0,31000,Toulouse,31555821AC0128,Appartement,30.0,30.0,1.0,1,92000,97000,Ancien
2018-03-30,166040.0,31500,Toulouse,31555808AC0264,Appartement,58.0,58.0,3.0,1,158000,166040,Ancien
2018-04-06,120000.0,31000,Toulouse,31555818AB0439,Appartement,26.0,26.0,1.0,1,114000,120000,Renove
2018-04-09,72000.0,31300,Toulouse,31555846AC0241,Appartement,24.0,24.0,1.0,1,70000,74000,Renove
2018-04-10,314000.0,31000,Toulouse,31555821AB0364,Appartement,67.0,67.0,2.0,1,346000,363000,Renove
2018-04-11,112000.0,31300,Toulouse,31555846AD0224,Appartement,43.0,43.0,2.0,1,108000,113000,Renove
2018-05-04,78000.0,31400,Toulouse,31555813AB0462,Appartement,27.0,27.0,2.0,1,76000,80000,Ancien
2018-05-11,79616.0,31200,Toulouse,31555831AO0430,Appartement,33.0,33.0,2.0,1,76000,80000,Ancien
2018-05-15,531680.0,31000,Toulouse,31555822AB0326,Appartement,151.0,151.0,5.0,1,518000,544000,Renove
2018-05-18,319412.22,31200,Toulouse,31555829AP0279,Appartement,93.0,93.0,4.0,1,313000,329000,Renove
2018-06-01,230000.0,31100,Toulouse,31555842AL0124,Appartement,82.0,480.0,4.0,1,240000,252000,Ancien
2018-06-06,260000.0,31300,Toulouse,31555844AD0003,Appartement,66.0,66.0,3.0,1,273000,287000,Ancien
2018-06-18,122230.0,31500,Toulouse,31555835AB0195,Appartement,39.0,39.0,2.0,1,122000,128000,Renove
2018-06-26,104000.0,31400,Toulouse,31555839AK0160,Appartement,31.0,31.0,1.0,1,102000,107000,Renove
2018-06-29,106565.0,31100,Toulouse,31555841AB0293,Appartement,41.0,41.0,2.0,1,115000,121000,Renove
2018-07-10,76000.0,31100,Toulouse,31555843AM0114,Appartement,38.0,38.0,2.0,1,72000,76000,Ancien
2018-07-16,129220.0,31500,Toulouse,31555807AB0843,Appartement,46.0,46.0,2.0,1,123000,129220,Ancien
2018-07-18,78960.0,31500,Toulouse,31555806AD0555,Appartement,31.0,31.0,1.0,1,77000,81000,Ancien
2018-07-27,266800.0,31500,Toulouse,31555806AE0034,Appartement,75.0,75.0,4.0,1,254000,267000,Renove
2018-07-31,98202.0,31200,Toulouse,31555831AV0669,Appartement,62.0,62.0,3.0,1,97000,102000,Ancien
2018-08-02,153000.0,31000,Toulouse,31555827AD0055,Appartement,47.0,47.0,3.0,1,157000,165000,Ancien
2018-08-09,137300.0,31000,Toulouse,31555818AB0132,Appartement,30.0,30.0,2.0,1,142000,149000,Ancien
2018-08-14,184500.0,31200,Toulouse,31555831AW0610,Appartement,91.0,91.0,4.0,1,187000,196000,Ancien
2018-08-23,78000.0,31400,Toulouse,31555813AD0029,Appartement,22.0,22.0,1.0,1,74000,78000,Renove
2018-08-30,134400.0,31400,Toulouse,31555812AD0014,Appartement,40.0,40.0,2.0,1,128000,134400,Renove
2018-09-04,439670.0,31400,Toulouse,31555813AD0364,Appartement,90.0,90.0,3.0,1,481000,505000,Renove
2018-09-13,130000.0,31000,Toulouse,31555815AB0070,Appartement,37.0,37.0,1.0,1,126000,132000,Renove
2018-09-17,118000.0,31400,Toulouse,31555813AB0045,Appartement,34.0,34.0,2.0,1,122000,128000,Renove
2018-09-18,76000.0,31400,Toulouse,31555839BM0183,Appartement,25.0,25.0,1.0,1,72000,76000,Renove
2018-09-21,181000.0,31000,Toulouse,31555827AE0176,Appartement,49.0,49.0,2.0,1,188000,197000,Renove
2018-10-05,200000.0,31300,Toulouse,31555828AL0313,Appartement,67.0,67.0,3.0,1,190000,200000,Renove
2018-10-16,130000.0,31500,Toulouse,31555808AD0382,Appartement,57.0,57.0,4.0,1,124000,130000,Renove
2018-10-19,74700.0,31500,Toulouse,31555807AB0073,Appartement,18.0,18.0,1.0,1,72000,76000,Ancien
2018-10-24,153515.0,31500,Toulouse,31555835AC0073,Appartement,71.0,71.0,3.0,1,162000,170000,Ancien
2018-11-05,255000.0,31200,Toulouse,31555802AC0346,Appartement,72.0,72.0,3.0,1,245000,257000,Renove
2018-11-06,210000.0,31400,Toulouse,31555811AB0036,Appartement,92.0,92.0,3.0,1,205000,215000,Renove
2018-11-15,227457.55,31200,Toulouse,31555829AP0279,Appartement,71.0,71.0,3.0,1,219000,230000,Renove
2018-11-15,220000.0,31500,Toulouse,31555834AC0042,Appartement,107.0,107.0,5.0,1,221000,232000,Ancien
2018-11-23,62000.0,31400,Toulouse,31555813AB0212,Appartement,25.0,25.0,2.0,1,61000,64000,Ancien
2018-12-13,127500.0,31500,Toulouse,31555836BH0208,Appartement,49.0,49.0,2.0,1,128000,134000,Ancien
2018-12-17,142000.0,31500,Toulouse,31555834AB0181,Appartement,62.0,62.0,3.0,1,139000,146000,Ancien
2019-01-07,77504.0,31300,Toulouse,31555844AN0112,Appartement,45.0,45.0,2.0,1,76000,80000,Ancien
2019-01-09,188400.0,31400,Toulouse,31555838AL0069,Appartement,57.0,57.0,3.0,1,207000,217000,Renove
2019-01-31,120000.0,31400,Toulouse,31555813AB0481,Appartement,28.0,28.0,1.0,1,115000,121000,Renove
2019-03-05,95000.0,31400,Toulouse,31555812AC0518,Appartement,22.0,22.0,1.0,1,98000,103000,Renove
2019-03-14,740000.0,31000,Toulouse,31555820AB0054,Appartement,161.0,161.0,4.0,1,756000,794000,Renove
2019-03-27,164652.0,31000,Toulouse,31555818AB0105,Appartement,36.0,36.0,1.0,1,157000,165000,Ancien
2019-04-03,93500.0,31000,Toulouse,31555827AC0141,Appartement,21.0,21.0,1.0,1,102000,107000,Ancien
2019-04-04,76852.0,31100,Toulouse,31555842AI0350,Appartement,61.0,61.0,3.0,1,73000,77000,Renove
2019-05-06,100170.0,31500,Toulouse,31555834AW0030,Appartement,61.0,61.0,3.0,1,99000,104000,Ancien
2019-06-13,269250.0,31200,Toulouse,31555802AB0281,Appartement,67.0,67.0,4.0,1,293000,308000,Renove
2019-06-20,151750.0,31200,Toulouse,31555831AZ0552,Appartement,62.0,62.0,4.0,1,145000,152000,Ancien
2019-06-20,167500.0,31400,Toulouse,31555839AC0179,Appartement,63.0,63.0,3.0,1,160000,168000,Ancien
2020-06-22,210000.0,31500,Toulouse,31555835AH0454,Appartement,63.0,63.0,3.0,1,232000,244000,Renove
2014-01-06,240500.0,31000,Toulouse,31555826AD0353,Appartement,65.0,65.0,2.0,6,252000,265000,Renove
2014-01-28,257000.0,31200,Toulouse,31555831AE0057,Appartement,71.0,732.0,3.0,6,246000,258000,Ancien
2014-01-31,90000.0,31500,Toulouse,31555808AC0455,Appartement,41.0,41.0,2.0,6,88000,92000,Ancien
2014-02-14,133000.0,31500,Toulouse,31555807AB0748,Appartement,31.0,31.0,1.0,6,127000,133000,Renove
2014-03-20,43500.0,31100,Toulouse,31555843AM0303,Appartement,21.0,21.0,1.0,6,44000,46000,Ancien
2014-03-27,60000.0,31000,Toulouse,31555821AB0390,Appartement,13.0,13.0,1.0,6,61000,64000,Renove
2014-04-03,131000.0,31200,Toulouse,31555804AE0073,Appartement,80.0,80.0,5.0,6,130000,136000,Renove
2014-04-23,77400.0,31000,Toulouse,31555822AB0331,Appartement,19.0,19.0,1.0,6,75000,79000,Ancien
2014-04-30,242000.0,31000,Toulouse,31555818AB0191,Appartement,74.0,74.0,3.0,6,246000,258000,Renove
2014-05-06,180000.0,31200,Toulouse,31555830AB0482,Appartement,83.0,83.0,4.0,6,188000,197000,Ancien
2014-05-07,86000.0,31500,Toulouse,31555805AE0104,Appartement,30.0,30.0,1.0,6,94000,99000,Ancien
2014-05-15,160000.0,31200,Toulouse,31555804AE0011,Appartement,66.0,66.0,2.0,6,178000,187000,Ancien
2014-05-23,88000.0,31300,Toulouse,31555828AE0212,Appartement,30.0,30.0,1.0,6,84000,88000,Renove
2014-05-28,70000.0,31400,Toulouse,31555811AC0283,Appartement,26.0,26.0,1.0,6,71000,75000,Renove
2014-06-27,73700.0,31400,Toulouse,31555812AC0390,Appartement,23.0,23.0,1.0,6,86000,90000,Renove
2014-07-11,214000.0,31200,Toulouse,31555803AE0136,Appartement,72.0,72.0,4.0,6,227000,238000,Renove
2014-07-17,97000.0,31000,Toulouse,31555823AB0522,Appartement,28.0,28.0,2.0,6,108000,113000,Renove
2014-08-07,73000.0,31000,Toulouse,31555824AB0035,Appartement,17.0,17.0,1.0,6,80000,84000,Renove
2014-08-07,70000.0,31000,Toulouse,31555823AB0168,Appartement,20.0,20.0,1.0,6,68000,71000,Renove
2014-08-29,142000.0,31000,Toulouse,31555821AB0539,Appartement,47.0,47.0,2.0,6,136000,143000,Renove
2014-09-05,350000.0,31500,Toulouse,31555807AD0112,Appartement,124.0,255.0,5.0,6,365000,383000,Ancien
2014-09-19,134500.0,31000,Toulouse,31555827AC0028,Appartement,46.0,46.0,2.0,6,137000,144000,Renove
2014-09-26,40000.0,31000,Toulouse,31555821AB0548,Appartement,12.0,12.0,1.0,6,46000,48000,Renove
2014-10-01,154600.0,31400,Toulouse,31555810AB0148,Appartement,35.0,159.0,1.0,6,188000,197000,Renove
2014-10-13,58000.0,31300,Toulouse,31555846AC0254,Appartement,18.0,18.0,1.0,6,56000,59000,Renove
2014-10-13,263600.0,31500,Toulouse,31555836AX0335,Appartement,86.0,86.0,3.0,6,251000,264000,Renove
2014-10-17,199000.0,31000,Toulouse,31555825AB0079,Appartement,44.0,44.0,2.0,6,233000,245000,Renove
2014-10-28,203000.0,31500,Toulouse,31555806AD0477,Appartement,70.0,70.0,3.0,6,195000,205000,Ancien
2014-11-20,82730.0,31500,Toulouse,31555808AB0397,Appartement,32.0,32.0,1.0,6,79000,83000,Ancien
2014-12-24,299000.0,31300,Toulouse,31555846AL0235,Appartement,79.0,79.0,4.0,6,343000,360000,Renove
2015-01-22,100000.0,31100,Toulouse,31555843AS0046,Appartement,49.0,49.0,3.0,6,98000,103000,Ancien
2015-01-30,73000.0,31200,Toulouse,31555831AV0096,Appartement,40.0,40.0,2.0,6,80000,84000,Ancien
2015-02-24,59000.0,31400,Toulouse,31555812AC0179,Appartement,19.0,19.0,1.0,6,70000,74000,Renove
2015-03-05,152796.54,31400,Toulouse,31555813AD0176,Appartement,64.0,64.0,3.0,6,162000,170000,Ancien
